# names phi theta dt Tspan wn log10_A_dm log10_A_red log10_A_sv g_dm g_red g_sv
J1730-2304 4.58323 1.97397 61058.2 9.48062 7.53272 -43.7884 -44.8028 -14.1308 0.993586 4.26307 2.30244
J1738+0333 4.61989 1.50796 184574 10.1207 6.47539 -13.4495 -12.5888 -42.8931 2.03826 2.64562 2.78455
J1741+1351 4.6321 1.3282 236666 9.58467 2.90827 -44.3034 -43.3733 -45.0604 4.52827 3.63164 4.02653
J1744-1134 4.64432 1.77325 226564 10.1057 5.13163 -14.1707 -44.0779 -43.4437 1.63288 0.926571 1.85989
J1745+1017 4.64956 1.39103 574365 10.7754 0.736369 -12.7909 -13.82 -44.1091 0.909325 1.92298 1.67534
J1747-4036 4.66003 2.2794 48461.2 10.3869 6.20901 -13.6455 -44.5211 -45.6996 3.44996 4.7948 3.42158
J1751-2857 4.67574 2.07694 201458 10.2178 2.63357 -44.8862 -15.0576 -44.7209 1.88737 1.18475 3.28091
J1802-2124 4.72112 1.9443 179427 9.77019 0.664905 -15.3214 -14.297 -43.7017 0.85423 3.44052 2.9557
J1811-2405 4.76126 1.99142 348057 9.94338 4.1588 -42.993 -44.3652 -45.5616 2.24256 4.1353 2.2803
J1832-0836 4.85376 1.72089 332973 9.81126 3.62459 -13.6091 -43.8608 -45.1042 3.84918 4.6475 4.9563
J1843-1113 4.90263 1.76627 69122.6 9.71384 3.83805 -42.9318 -45.8778 -44.3075 3.08741 2.49659 2.35833
J1853+1303 4.94801 1.34216 489625 9.58219 0.608771 -14.1122 -44.9626 -15.6413 1.43591 0.34508 0.602816
B1855+09 4.96372 1.4015 265756 10.2707 0.611206 -15.2239 -43.5364 -45.4901 2.09885 1.11534 3.75245
J1903+0327 4.98815 1.50971 114245 10.1157 3.13193 -12.8418 -44.2076 -43.9683 1.96363 4.0683 3.48916
J1909-3744 5.01608 2.22879 858401 9.48006 2.14449 -13.039 -13.6841 -45.4927 3.1317 0.972941 1.63458
J1910+1256 5.01782 1.34565 227856 10.0615 0.730716 -42.849 -45.9554 -43.4229 1.1015 2.70132 3.84927
J1911+1347 5.02655 1.32994 257746 9.91776 3.52618 -13.2508 -45.1713 -44.529 4.73492 2.06318 0.654759
J1918-0642 5.05622 1.68773 37979.2 9.8668 2.47097 -44.2828 -45.6083 -44.9551 2.47573 4.69736 1.91912
J1923+2515 5.07542 1.12923 244079 9.9028 1.53795 -43.5239 -45.7164 -42.9829 4.37564 4.41244 1.83701
B1937+21 5.14698 1.19381 108012 9.78472 2.4334 -12.5444 -15.0325 -13.3275 2.07423 4.20898 2.81602
J1944+0907 5.16617 1.41197 623030 10.2143 1.38734 -45.3569 -43.7231 -42.7018 4.60838 2.52802 2.83867
J1946+3417 5.17665 0.972148 130274 10.1222 19.0488 -14.8856 -12.9224 -45.7649 1.18232 4.96391 1.865
B1953+29 5.21679 1.06291 191927 9.85822 0.725212 -15.3663 -42.7126 -44.2115 2.35978 3.74095 1.6487
J2010-1323 5.28311 1.80467 137189 9.68816 1.15155 -12.739 -14.0235 -43.3705 1.8355 2.58239 4.96933
J2017+0603 5.31104 1.46433 133990 10.087 0.83698 -14.8866 -44.5458 -45.415 3.37672 1.53467 0.987198
J2033+1734 5.3826 1.26362 279249 10.4699 3.24695 -12.845 -43.8701 -45.8237 2.81494 1.03164 1.90251
J2043+1711 5.42448 1.2706 134537 10.2911 2.23745 -44.5112 -44.3538 -43.1674 2.06104 1.66062 3.72436
J2124-3358 5.606 2.16421 508524 10.2822 1.07474 -15.6575 -45.7736 -44.269 4.03111 1.40385 0.700409
J2145-0750 5.6985 1.70693 356431 9.62682 2.36694 -43.7256 -44.5766 -42.8859 0.345133 2.8631 2.49571
J2214+3000 5.82416 1.0472 181428 10.1031 2.34852 -14.4373 -43.9974 -45.3786 4.04619 1.91725 3.86885
J2229+2643 5.89049 1.10479 98550.1 10.3111 1.43148 -13.8348 -43.3711 -43.6961 1.86304 2.23568 3.37285
J2234+0611 5.90968 1.46259 357202 9.88663 3.91989 -12.8496 -43.281 -45.0627 0.336967 3.43812 3.00763
J2234+0944 0.394444 1.4015 123489 9.72755 0.7771 -45.8198 -44.3809 -45.8766 4.90943 0.74445 3.13449
J2302+4442 6.0336 0.790634 86844.1 9.97823 4.25766 -14.3512 -44.8021 -43.0856 3.19746 3.49437 2.55588
J2317+1439 6.09644 1.31423 152605 10.0053 7.45021 -13.5848 -45.8991 -43.2405 2.08326 2.92552 3.73075
J2322+2057 6.11912 1.20428 390244 9.9473 0.570993 -12.6687 -45.5379 -45.0392 0.451108 2.8777 4.06278
